price,bedroom,bathroom,area(sqft),country,city,address,propert_type,purpose,furnishing,completion_status,handover,project_name
3300000.0,3.0,3.0,2241.0, UAE, Dubai, Arabian Ranches 3,Townhouse,Sale,Unfurnished,Ready,Q1 2029,Bliss
1950000.0,1.0,2.0,918.0, UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q1 2029,SOL Bay
1025000.0,1.0,2.0,689.0, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Ready,Q1 2029,SOL Bay
1250000.0,2.0,2.0,1310.0, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Ready,Q1 2029,SOL Bay
900000.0,2.0,1.0,389.0, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Ready,Q1 2029,SOL Bay
850000.0,1.0,2.0,1522.0, UAE, Dubai, Dubai Sports City,Apartment,Sale,Unfurnished,Ready,Q1 2029,Canal Residence West
700000.0,2.0,1.0,363.0, UAE, Dubai, Jumeirah Lake Towers (JLT),Apartment,Sale,Furnished,Ready,Q1 2029,Canal Residence West
4173191.0,3.0,3.0,2466.0, UAE, Dubai, Dubai Marina,Apartment,Sale,Unfurnished,Ready,Q1 2029,Marina Arcade Tower
1650000.0,1.0,2.0,830.0, UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Ready,Q1 2029,Nobles Tower
975000.0,2.0,1.0,370.0, UAE, Dubai, Dubai Marina,Apartment,Sale,Unfurnished,Ready,Q1 2029,Zumurud Tower
2704455.0,1.0,2.0,1173.0, UAE, Dubai, Dubai Marina,Apartment,Sale,Unfurnished,Off-Plan,Q2 2028,Kempinski Residences Marina
1100000.0,2.0,1.0,620.0, UAE, Dubai, Jumeirah Lake Towers (JLT),Apartment,Sale,Furnished,Ready,Q2 2028,Kempinski Residences Marina
2704225.0,1.0,2.0,1174.0, UAE, Dubai, Dubai Marina,Apartment,Sale,Unfurnished,Off-Plan,Q2 2028,Kempinski Residences Marina
1629999.0,2.0,3.0,1320.0, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Ready,Q2 2028,Kempinski Residences Marina
2697533.0,1.0,2.0,1173.0, UAE, Dubai, Dubai Marina,Apartment,Sale,Unfurnished,Off-Plan,Q2 2028,Kempinski Residences Marina
